,iid,age,gender,field_cd,race,goal,match,satis_2,length,numdat_2
32,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
33,4,23.0,Female,1.0,2.0,1.0,Yes,4.0,3.0,2.0
34,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
35,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
36,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
37,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
38,4,23.0,Female,1.0,2.0,1.0,Yes,4.0,3.0,2.0
39,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
40,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
41,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
42,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
43,5,21.0,Female,1.0,2.0,2.0,Yes,7.0,2.0,2.0
44,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
45,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
46,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
47,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
48,5,21.0,Female,1.0,2.0,2.0,Yes,7.0,2.0,2.0
49,5,21.0,Female,1.0,2.0,2.0,No,7.0,2.0,2.0
50,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
51,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
52,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
53,6,23.0,Female,1.0,4.0,1.0,Yes,3.0,3.0,2.0
54,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
55,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
56,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
57,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
58,6,23.0,Female,1.0,4.0,1.0,Yes,3.0,3.0,2.0
59,6,23.0,Female,1.0,4.0,1.0,No,3.0,3.0,2.0
60,7,22.0,Female,1.0,4.0,1.0,No,,,
61,7,22.0,Female,1.0,4.0,1.0,No,,,
62,7,22.0,Female,1.0,4.0,1.0,No,,,
63,7,22.0,Female,1.0,4.0,1.0,Yes,,,
64,7,22.0,Female,1.0,4.0,1.0,No,,,
65,7,22.0,Female,1.0,4.0,1.0,No,,,
66,7,22.0,Female,1.0,4.0,1.0,No,,,
67,7,22.0,Female,1.0,4.0,1.0,No,,,
68,7,22.0,Female,1.0,4.0,1.0,Yes,,,
69,7,22.0,Female,1.0,4.0,1.0,No,,,
70,8,25.0,Female,13.0,2.0,1.0,No,,,
71,8,25.0,Female,13.0,2.0,1.0,Yes,,,
72,8,25.0,Female,13.0,2.0,1.0,Yes,,,
73,8,25.0,Female,13.0,2.0,1.0,Yes,,,
74,8,25.0,Female,13.0,2.0,1.0,Yes,,,
75,8,25.0,Female,13.0,2.0,1.0,Yes,,,
76,8,25.0,Female,13.0,2.0,1.0,No,,,
77,8,25.0,Female,13.0,2.0,1.0,Yes,,,
78,8,25.0,Female,13.0,2.0,1.0,Yes,,,
79,8,25.0,Female,13.0,2.0,1.0,Yes,,,
80,9,26.0,Female,13.0,6.0,1.0,No,6.0,2.0,1.0
81,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
82,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
83,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
84,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
85,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
86,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
87,9,26.0,Female,13.0,6.0,1.0,No,6.0,2.0,1.0
88,9,26.0,Female,13.0,6.0,1.0,Yes,6.0,2.0,1.0
89,9,26.0,Female,13.0,6.0,1.0,No,6.0,2.0,1.0
90,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
91,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
92,10,26.0,Female,13.0,2.0,2.0,Yes,2.0,2.0,2.0
93,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
94,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
95,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
96,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
97,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
98,10,26.0,Female,13.0,2.0,2.0,Yes,2.0,2.0,2.0
99,10,26.0,Female,13.0,2.0,2.0,No,2.0,2.0,2.0
100,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
101,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
102,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
103,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
104,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
105,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
106,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
107,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
108,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
109,11,27.0,Male,8.0,2.0,1.0,No,7.0,2.0,
110,12,22.0,Male,1.0,2.0,1.0,No,,,
111,12,22.0,Male,1.0,2.0,1.0,No,,,
112,12,22.0,Male,1.0,2.0,1.0,No,,,
113,12,22.0,Male,1.0,2.0,1.0,No,,,
114,12,22.0,Male,1.0,2.0,1.0,No,,,
115,12,22.0,Male,1.0,2.0,1.0,No,,,
116,12,22.0,Male,1.0,2.0,1.0,No,,,
117,12,22.0,Male,1.0,2.0,1.0,Yes,,,
118,12,22.0,Male,1.0,2.0,1.0,Yes,,,
119,12,22.0,Male,1.0,2.0,1.0,No,,,
120,13,22.0,Male,1.0,4.0,2.0,Yes,10.0,3.0,1.0
121,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
122,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
123,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
124,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
125,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
126,13,22.0,Male,1.0,4.0,2.0,No,10.0,3.0,1.0
127,13,22.0,Male,1.0,4.0,2.0,Yes,10.0,3.0,1.0
128,13,22.0,Male,1.0,4.0,2.0,Yes,10.0,3.0,1.0
129,13,22.0,Male,1.0,4.0,2.0,Yes,10.0,3.0,1.0
130,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
131,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
132,14,23.0,Male,1.0,2.0,2.0,No,6.0,3.0,
133,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
134,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
135,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
136,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
137,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
138,14,23.0,Male,1.0,2.0,2.0,Yes,6.0,3.0,
139,14,23.0,Male,1.0,2.0,2.0,No,6.0,3.0,
140,15,24.0,Male,1.0,3.0,1.0,Yes,8.0,2.0,1.0
141,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
142,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
143,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
144,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
145,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
146,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
147,15,24.0,Male,1.0,3.0,1.0,Yes,8.0,2.0,1.0
148,15,24.0,Male,1.0,3.0,1.0,Yes,8.0,2.0,1.0
149,15,24.0,Male,1.0,3.0,1.0,No,8.0,2.0,1.0
150,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
151,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
152,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
153,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
154,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
155,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
156,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
157,16,25.0,Male,8.0,2.0,1.0,Yes,7.0,2.0,1.0
158,16,25.0,Male,8.0,2.0,1.0,Yes,7.0,2.0,1.0
159,16,25.0,Male,8.0,2.0,1.0,No,7.0,2.0,1.0
160,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
161,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
162,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
163,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
164,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
165,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
166,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
167,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
168,17,30.0,Male,13.0,2.0,3.0,Yes,5.0,3.0,2.0
169,17,30.0,Male,13.0,2.0,3.0,No,5.0,3.0,2.0
170,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
171,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
172,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
173,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
174,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
175,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
176,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
177,18,27.0,Male,8.0,2.0,1.0,Yes,5.0,2.0,1.0
178,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
179,18,27.0,Male,8.0,2.0,1.0,No,5.0,2.0,1.0
180,19,28.0,Male,8.0,2.0,4.0,Yes,,,
181,19,28.0,Male,8.0,2.0,4.0,Yes,,,
182,19,28.0,Male,8.0,2.0,4.0,No,,,
183,19,28.0,Male,8.0,2.0,4.0,Yes,,,
184,19,28.0,Male,8.0,2.0,4.0,Yes,,,
185,19,28.0,Male,8.0,2.0,4.0,Yes,,,
186,19,28.0,Male,8.0,2.0,4.0,Yes,,,
187,19,28.0,Male,8.0,2.0,4.0,Yes,,,
188,19,28.0,Male,8.0,2.0,4.0,Yes,,,
189,19,28.0,Male,8.0,2.0,4.0,Yes,,,
190,20,24.0,Male,8.0,2.0,1.0,No,,,
191,20,24.0,Male,8.0,2.0,1.0,No,,,
192,20,24.0,Male,8.0,2.0,1.0,No,,,
193,20,24.0,Male,8.0,2.0,1.0,No,,,
194,20,24.0,Male,8.0,2.0,1.0,No,,,
195,20,24.0,Male,8.0,2.0,1.0,No,,,
196,20,24.0,Male,8.0,2.0,1.0,No,,,
197,20,24.0,Male,8.0,2.0,1.0,Yes,,,
198,20,24.0,Male,8.0,2.0,1.0,No,,,
199,20,24.0,Male,8.0,2.0,1.0,No,,,
200,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
201,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
202,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
203,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
204,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
205,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
206,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
207,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
208,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
209,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
210,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
211,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
212,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
213,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
214,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
215,21,21.0,Female,5.0,4.0,6.0,No,6.0,3.0,3.0
216,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
217,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
218,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
219,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
220,22,27.0,Female,9.0,1.0,1.0,Yes,6.0,3.0,3.0
221,22,27.0,Female,9.0,1.0,1.0,Yes,6.0,3.0,3.0
222,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
223,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
224,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
225,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
226,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
227,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
228,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
229,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
230,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
231,22,27.0,Female,9.0,1.0,1.0,No,6.0,3.0,3.0
232,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
233,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
234,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
235,23,21.0,Female,3.0,4.0,1.0,Yes,7.0,2.0,2.0
236,23,21.0,Female,3.0,4.0,1.0,Yes,7.0,2.0,2.0
237,23,21.0,Female,3.0,4.0,1.0,Yes,7.0,2.0,2.0
238,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
239,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
240,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
241,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
242,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
243,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
244,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
245,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
246,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
247,23,21.0,Female,3.0,4.0,1.0,No,7.0,2.0,2.0
248,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
249,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
250,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
251,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
252,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
253,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
254,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
255,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
256,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
257,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
258,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
259,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
260,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
261,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
262,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
263,24,27.0,Female,11.0,2.0,2.0,No,3.0,3.0,2.0
264,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
265,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
266,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
267,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
268,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
269,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
270,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
271,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
272,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
273,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
274,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
275,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
276,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
277,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
278,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
279,25,25.0,Female,11.0,2.0,1.0,No,3.0,1.0,2.0
280,26,23.0,Female,11.0,2.0,1.0,No,,,
281,26,23.0,Female,11.0,2.0,1.0,No,,,
282,26,23.0,Female,11.0,2.0,1.0,No,,,
283,26,23.0,Female,11.0,2.0,1.0,No,,,
284,26,23.0,Female,11.0,2.0,1.0,No,,,
285,26,23.0,Female,11.0,2.0,1.0,No,,,
286,26,23.0,Female,11.0,2.0,1.0,No,,,
287,26,23.0,Female,11.0,2.0,1.0,No,,,
288,26,23.0,Female,11.0,2.0,1.0,No,,,
289,26,23.0,Female,11.0,2.0,1.0,No,,,
290,26,23.0,Female,11.0,2.0,1.0,No,,,
291,26,23.0,Female,11.0,2.0,1.0,No,,,
292,26,23.0,Female,11.0,2.0,1.0,No,,,
293,26,23.0,Female,11.0,2.0,1.0,No,,,
294,26,23.0,Female,11.0,2.0,1.0,No,,,
295,26,23.0,Female,11.0,2.0,1.0,No,,,
296,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
297,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
298,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
299,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
300,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
301,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
302,27,22.0,Female,3.0,3.0,1.0,Yes,3.0,1.0,2.0
303,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
304,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
305,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
306,27,22.0,Female,3.0,3.0,1.0,Yes,3.0,1.0,2.0
307,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
308,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
309,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
310,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
311,27,22.0,Female,3.0,3.0,1.0,No,3.0,1.0,2.0
312,28,26.0,Female,3.0,2.0,,No,,,
313,28,26.0,Female,3.0,2.0,,No,,,
314,28,26.0,Female,3.0,2.0,,No,,,
315,28,26.0,Female,3.0,2.0,,No,,,
316,28,26.0,Female,3.0,2.0,,No,,,
317,28,26.0,Female,3.0,2.0,,No,,,
318,28,26.0,Female,3.0,2.0,,Yes,,,
319,28,26.0,Female,3.0,2.0,,No,,,
320,28,26.0,Female,3.0,2.0,,No,,,
321,28,26.0,Female,3.0,2.0,,No,,,
322,28,26.0,Female,3.0,2.0,,No,,,
323,28,26.0,Female,3.0,2.0,,No,,,
324,28,26.0,Female,3.0,2.0,,No,,,
325,28,26.0,Female,3.0,2.0,,No,,,
326,28,26.0,Female,3.0,2.0,,No,,,
327,28,26.0,Female,3.0,2.0,,No,,,
328,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
329,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
330,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
331,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
332,29,22.0,Female,11.0,2.0,1.0,Yes,6.0,3.0,2.0
333,29,22.0,Female,11.0,2.0,1.0,Yes,6.0,3.0,2.0
334,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
335,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
336,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
337,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
338,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
339,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
340,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
341,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
342,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
343,29,22.0,Female,11.0,2.0,1.0,No,6.0,3.0,2.0
344,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
345,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
346,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
347,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
348,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
349,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
350,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
351,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
352,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
353,30,23.0,Female,1.0,2.0,1.0,Yes,3.0,1.0,3.0
354,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
355,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
356,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
357,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
358,30,23.0,Female,1.0,2.0,1.0,No,3.0,1.0,3.0
359,30,23.0,Female,1.0,2.0,1.0,Yes,3.0,1.0,3.0
360,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
361,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
362,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
363,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
364,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
365,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
366,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
367,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
368,31,24.0,Female,1.0,2.0,1.0,Yes,4.0,1.0,1.0
369,31,24.0,Female,1.0,2.0,1.0,Yes,4.0,1.0,1.0
370,31,24.0,Female,1.0,2.0,1.0,Yes,4.0,1.0,1.0
371,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
372,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
373,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
374,31,24.0,Female,1.0,2.0,1.0,No,4.0,1.0,1.0
375,31,24.0,Female,1.0,2.0,1.0,Yes,4.0,1.0,1.0
376,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
377,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
378,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
379,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
380,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
381,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
382,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
383,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
384,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
385,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
386,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
387,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
388,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
389,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
390,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
391,32,27.0,Female,3.0,4.0,1.0,No,5.0,3.0,2.0
392,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
393,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
394,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
395,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
396,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
397,33,30.0,Female,3.0,2.0,6.0,No,5.0,3.0,2.0
